status » timestamp,status » error_code,status » error_message,status » elapsed,status » credit_count,status » notice,status » total_count,data » id,data » name,data » symbol,data » slug,data » num_market_pairs,data » date_added,data » tags » 1,data » tags » 2,data » tags » 3,data » tags » 4,data » tags » 5,data » tags » 6,data » tags » 7,data » tags » 8,data » tags » 9,data » tags » 10,data » tags » 11,data » tags » 12,data » tags » 13,data » tags » 14,data » tags » 15,data » tags » 16,data » tags » 17,data » tags » 18,data » tags » 19,data » tags » 20,data » tags » 21,data » tags » 22,data » tags » 23,data » tags » 24,data » tags » 25,data » tags » 26,data » tags » 27,data » tags » 28,data » tags » 29,data » max_supply,data » circulating_supply,data » total_supply,data » platform,data » platform » id,data » platform » name,data » platform » symbol,data » platform » slug,data » platform » token_address,data » cmc_rank,data » last_updated,data » quote » USD » price,data » quote » USD » volume_24h,data » quote » USD » percent_change_1h,data » quote » USD » percent_change_24h,data » quote » USD » percent_change_7d,data » quote » USD » percent_change_30d,data » quote » USD » percent_change_60d,data » quote » USD » percent_change_90d,data » quote » USD » market_cap,data » quote » USD » last_updated
,,,,,,,4195,FTX Token,FTT,ftx-token,49,2019-07-31T00:00:00.000Z,marketplace,centralized-exchange,derivatives,cms-holdings-portfolio,kinetic-capital,alameda-research-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,339228639,94346957.52,345219293.6,,1839,Binance Chain,BNB,binance-coin,FTT-F11,31,2021-05-22T04:20:03.000Z,34.98482977,242843175.9,-0.84939748,-14.37007019,-39.1734434,-31.39614997,-5.38846972,9.03614825,3300712249,2021-05-22T04:20:03.000Z
,,,,,,,3602,Bitcoin SV,BSV,bitcoin-sv,211,2018-11-09T00:00:00.000Z,mineable,pow,sha-256,medium-of-exchange,store-of-value,state-channels,,,,,,,,,,,,,,,,,,,,,,,,21000000,18739132.89,18739132.89,,,,,,,32,2021-05-22T04:20:07.000Z,169.5043628,2140129080,-1.2361539,-13.36827747,-49.37495794,-43.40891004,-21.42314303,-27.00124287,3176364780,2021-05-22T04:20:07.000Z
,,,,,,,2011,Tezos,XTZ,tezos,166,2017-10-06T00:00:00.000Z,platform,enterprise-solutions,smart-contracts,binance-chain,polychain-capital-portfolio,boostvc-portfolio,winklevoss-capital,,,,,,,,,,,,,,,,,,,,,,,,876828451.2,876828451.2,,,,,,,33,2021-05-22T04:20:08.000Z,3.563159165,341264630.8,1.12879456,-14.1375525,-44.12448011,-32.89359234,-14.24028037,-23.83326518,3124279332,2021-05-22T04:20:08.000Z
,,,,,,,3635,Crypto.com Coin,CRO,crypto-com-coin,116,2018-12-14T00:00:00.000Z,medium-of-exchange,cosmos-ecosystem,centralized-exchange,mobile,payments,,,,,,,,,,,,,,,,,,,,,,,,,,25263013692,30263013692,,1027,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,34,2021-05-22T04:20:07.000Z,0.1199451309,111838243.2,-0.35044545,-9.05166921,-27.33437692,-35.73257928,-44.84786763,-13.70487713,3030175483,2021-05-22T04:20:07.000Z
,,,,,,,5994,SHIBA INU,SHIB,shiba-inu,71,2020-08-01T00:00:00.000Z,memes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394796000000000,1E+15,,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,35,2021-05-22T04:19:10.000Z,0.00000742466272,1437287557,-0.96227427,-24.7970586,-57.86914462,480.5126112,15763.86057,113358.9469,2931227143,2021-05-22T04:19:10.000Z
,,,,,,,1720,IOTA,MIOTA,iota,65,2017-06-13T00:00:00.000Z,dag,medium-of-exchange,iot,sharing-economy,,,,,,,,,,,,,,,,,,,,,,,,,,2779530283,2779530283,2779530283,,,,,,,36,2021-05-22T04:20:08.000Z,1.04977188,246958351.5,-0.63424508,-19.87667174,-45.85715178,-49.35213621,-36.22013117,-24.47244901,2917872732,2021-05-22T04:20:08.000Z
,,,,,,,4172,Terra,LUNA,terra-luna,61,2019-07-26T00:00:00.000Z,cosmos-ecosystem,store-of-value,defi,payments,stablecoin-algorithmically-stabilized,coinbase-ventures-portfolio,binance-labs-portfolio,solana-ecosystem,arrington-xrp-capital,hashkey-capital-portfolio,kinetic-capital,huobi-capital,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,383207266.4,960937659.7,,,,,,,37,2021-05-22T04:20:03.000Z,7.571545387,502699570.7,-1.83206131,-31.35032555,-53.28823154,-43.38801946,-61.57986695,28.29127282,2901471210,2021-05-22T04:20:03.000Z
,,,,,,,2502,Huobi Token,HT,huobi-token,172,2018-02-03T00:00:00.000Z,marketplace,centralized-exchange,discount-token,payments,kinetic-capital,alameda-research-portfolio,multicoin-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,500000000,175074232.3,500000000,,1027,Ethereum,ETH,ethereum,0x6f259637dcd74c767781e37bc6133cd6a68aa161,40,2021-05-22T04:20:06.000Z,15.98682654,2242056047,-3.00026878,-34.61912014,-52.03679344,-21.82127009,23.74211225,-29.85519412,2798881383,2021-05-22T04:20:06.000Z
,,,,,,,4030,Algorand,ALGO,algorand,136,2019-06-20T00:00:00.000Z,pos,platform,research,smart-contracts,arrington-xrp-capital,kinetic-capital,usv-portfolio,multicoin-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,10000000000,3049452632,5526559868,,,,,,,39,2021-05-22T04:20:07.000Z,0.916639807,364576488.1,-0.26232812,-16.89754415,-37.00576588,-26.20363658,-18.11296327,-30.04557702,2795249672,2021-05-22T04:20:07.000Z
,,,,,,,1518,Maker,MKR,maker,214,2017-01-29T00:00:00.000Z,store-of-value,defi,dao,polychain-capital-portfolio,governance,lending-borowing,dragonfly-capital-portfolio,electric-capital-portfolio,a16z-portfolio,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,paradigm-xzy-screener,,,,,,,,,,,,,,,,,1005577,992724.2083,992724.2083,,1027,Ethereum,ETH,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,38,2021-05-22T04:20:06.000Z,2771.457706,380253638.3,-7.12786468,-30.09456044,-44.53233896,-35.25738543,38.81080231,5.97998298,2751293157,2021-05-22T04:20:06.000Z
